3526,6,0-0
1241,8,0-1
2646,96,0-2
269,105,0-3
3528,178,0-4
1233,181,0-5
252,283,0-6
455,283,0-7
2782,331,0-8
3554,339,0-9
1241,438,0-10
2301,464,0-11
136,512,0-12
3565,534,0-13
2748,557,0-14
2957,577,0-15
1224,647,0-16
314,670,0-17
2273,681,0-18
3526,724,0-19
1210,871,0-20
93,908,0-21
2140,908,0-22
1513,927,0-23
3625,956,0-24
2957,1026,0-25
1255,1111,0-26
25,1151,0-27
3585,1168,0-28
2576,1187,0-29
322,1334,0-30
1233,1346,0-31
8,1354,0-32
3582,1357,0-33
2160,1399,0-34
2429,1411,0-35
1552,1501,0-36
3605,1527,0-37
127,1558,0-38
1849,1580,0-39
1238,1586,0-40
2437,1623,0-41
3571,1736,0-42
141,1744,0-43
362,1767,0-44
1267,1787,0-45
2689,1818,0-46
2448,1826,0-47
85,1942,0-48
1394,14,1-0
2793,113,1-1
376,71,1-2
1377,223,1-3
2937,345,1-4
1388,447,1-5
226,492,1-6
3110,594,1-7
1374,645,1-8
450,670,1-9
2423,707,1-10
209,910,1-11
2270,916,1-12
1702,902,1-13
3085,1052,1-14
1380,1125,1-15
155,1137,1-16
2711,1210,1-17
472,1332,1-18
1414,1349,1-19
105,1340,1-20
2587,1414,1-21
232,1552,1-22
2041,1626,1-23
1388,1612,1-24
2607,1637,1-25
503,1750,1-26
1416,1795,1-27
2847,1852,1-28
1538,11,2-0
2918,153,2-1
512,68,2-2
1498,215,2-3
3090,387,2-4
1538,427,2-5
345,478,2-6
1530,653,2-7
599,687,2-8
2561,738,2-9
317,910,2-10
2414,927,2-11
1866,905,2-12
1501,1131,2-13
336,1117,2-14
2847,1219,2-15
588,1363,2-16
2708,1431,2-17
345,1555,2-18
2728,1651,2-19
664,1730,2-20
1555,1801,2-21
2980,1874,2-22
1688,14,3-0
3045,187,3-1
690,57,3-2
1662,229,3-3
1671,430,3-4
472,438,3-5
1674,656,3-6
2703,738,3-7
455,902,3-8
2559,958,3-9
1677,1142,3-10
458,1105,3-11
2844,1439,3-12
486,1561,3-13
2844,1665,3-14
1710,1795,3-15
3116,1880,3-16
1815,6,4-0
1821,226,4-1
1801,435,4-2
608,433,4-3
1815,650,4-4
2816,758,4-5
599,888,4-6
1838,1151,4-7
591,1105,4-8
2983,1456,4-9
2966,1662,4-10
1863,1795,4-11
1973,23,5-0
1988,223,5-1
1976,447,5-2
1973,650,5-3
2957,794,5-4
1996,1176,5-5
3101,1467,5-6
3124,1679,5-7
2007,1784,5-8
2101,28,6-0
2112,240,6-1
3113,809,6-2
2140,1154,6-3
2168,1809,6-4
2259,40,7-0
2262,229,7-1
2262,1156,7-2
2403,42,8-0
2412,274,8-1
2559,308,9-0
